entry_time,exit_time,strike,option_type,expiry,entry_price,exit_price,size,pnl,pnl_pct
2025-04-01 10:28:00,2025-04-01 11:13:00,23300,PE,2025-04-03 00:00:00,90.9,126.25,-1,-35.349999999999994,38.888888888888886
2025-04-01 11:26:00,2025-04-01 11:47:00,23200,PE,2025-04-03 00:00:00,85.6,101.85,-1,-16.25,18.983644859813076
2025-04-01 11:48:00,2025-04-01 14:51:00,23200,PE,2025-04-03 00:00:00,100.2,102.85,-1,-2.6499999999999915,2.644710578842302
2025-04-02 10:40:00,2025-04-02 14:51:00,23300,CE,2025-04-03 00:00:00,76.9,62.5,-1,14.400000000000006,-18.725617685305597
2025-04-03 09:52:00,2025-04-03 14:51:00,23250,CE,2025-04-09 00:00:00,173.8,161.2,-1,12.600000000000023,-7.249712313003465
2025-04-04 09:46:00,2025-04-04 10:42:00,23050,PE,2025-04-09 00:00:00,149.5,188.7,-1,-39.19999999999999,26.220735785953163
2025-04-04 11:40:00,2025-04-04 14:51:00,22950,PE,2025-04-09 00:00:00,128.9,163.05,-1,-34.150000000000006,26.493405740884413
2025-04-07 10:44:00,2025-04-07 14:51:00,22000,CE,2025-04-09 00:00:00,336.55,322.0,-1,14.550000000000011,-4.323280344673897
2025-04-08 09:48:00,2025-04-08 10:11:00,22450,PE,2025-04-09 00:00:00,141.95,164.85,-1,-22.900000000000006,16.132441000352248
2025-04-08 10:16:00,2025-04-08 10:55:00,22350,PE,2025-04-09 00:00:00,148.65,167.2,-1,-18.549999999999983,12.478977463841234
2025-04-08 10:56:00,2025-04-08 11:10:00,22350,PE,2025-04-09 00:00:00,168.15,127.8,-1,40.35000000000001,-23.996431757359503
2025-04-08 11:19:00,2025-04-08 11:43:00,22400,PE,2025-04-09 00:00:00,185.3,208.55,-1,-23.25,12.547220723151643
2025-04-08 11:48:00,2025-04-08 14:51:00,22400,PE,2025-04-09 00:00:00,179.85,123.9,-1,55.94999999999999,-31.109257714762293
2025-04-09 10:07:00,2025-04-09 14:51:00,22450,CE,2025-04-17 00:00:00,302.6,276.8,-1,25.80000000000001,-8.526107072042299
2025-04-11 11:13:00,2025-04-11 14:51:00,22850,CE,2025-04-17 00:00:00,235.25,234.2,-1,1.0500000000000114,-0.4463336875664248
2025-04-16 10:19:00,2025-04-16 10:45:00,23300,PE,2025-04-17 00:00:00,77.9,87.6,-1,-9.699999999999989,12.451861360718851
2025-04-16 10:46:00,2025-04-16 11:08:00,23300,PE,2025-04-17 00:00:00,86.9,93.35,-1,-6.449999999999989,7.422324510932099
2025-04-16 11:09:00,2025-04-16 12:35:00,23300,PE,2025-04-17 00:00:00,90.1,65.8,-1,24.299999999999997,-26.970033296337405
2025-04-16 13:20:00,2025-04-16 14:51:00,23300,PE,2025-04-17 00:00:00,84.1,53.25,-1,30.849999999999994,-36.682520808561236
2025-04-17 10:13:00,2025-04-17 11:35:00,23300,PE,2025-04-24 00:00:00,163.15,122.4,-1,40.75,-24.977015016855653
2025-04-21 09:37:00,2025-04-21 10:17:00,24000,CE,2025-04-24 00:00:00,148.7,169.85,-1,-21.150000000000006,14.22326832548757
2025-04-21 10:43:00,2025-04-21 13:19:00,24100,CE,2025-04-24 00:00:00,131.1,163.0,-1,-31.900000000000006,24.332570556826848
2025-04-21 13:35:00,2025-04-21 14:51:00,24200,CE,2025-04-24 00:00:00,112.35,105.35,-1,7.0,-6.230529595015577
2025-04-22 09:37:00,2025-04-22 11:13:00,24200,CE,2025-04-24 00:00:00,96.15,111.2,-1,-15.049999999999997,15.652626105044188
2025-04-22 11:25:00,2025-04-22 14:35:00,24250,CE,2025-04-24 00:00:00,81.5,59.2,-1,22.299999999999997,-27.361963190184046
2025-04-23 09:35:00,2025-04-23 09:44:00,24250,PE,2025-04-24 00:00:00,87.35,55.75,-1,31.599999999999994,-36.17630223239839
2025-04-23 10:10:00,2025-04-23 10:59:00,24200,PE,2025-04-24 00:00:00,78.4,103.0,-1,-24.599999999999994,31.377551020408156
2025-04-24 09:47:00,2025-04-24 14:51:00,24200,PE,2025-04-30 00:00:00,151.2,164.7,-1,-13.5,8.92857142857142
2025-04-25 09:40:00,2025-04-25 10:11:00,24200,PE,2025-04-30 00:00:00,152.3,280.0,-1,-127.69999999999999,83.84766907419565
2025-04-25 10:25:00,2025-04-25 12:06:00,24000,PE,2025-04-30 00:00:00,184.45,234.75,-1,-50.30000000000001,27.270262943887236
2025-04-25 12:31:00,2025-04-25 13:08:00,23900,PE,2025-04-30 00:00:00,155.95,117.5,-1,38.44999999999999,-24.65533824943892
2025-04-30 10:34:00,2025-04-30 14:51:00,24300,PE,2025-05-08 00:00:00,217.5,201.55,-1,15.949999999999989,-7.333333333333325
