entry_time,exit_time,strike,option_type,expiry,entry_price,exit_price,size,pnl,pnl_pct
2025-01-01 09:37:00,2025-01-01 14:51:00,23600,PE,2025-01-02 00:00:00,103.4,52.25,-1,51.150000000000006,-49.468085106382986
2025-01-02 09:34:00,2025-01-02 14:51:00,23800,CE,2025-01-09 00:00:00,237.95,473.2,-1,-235.25,98.86530783778105
2025-01-03 11:22:00,2025-01-03 14:00:00,24100,CE,2025-01-09 00:00:00,161.65,122.95,-1,38.7,-23.94061243427158
2025-01-06 09:40:00,2025-01-06 10:09:00,24000,PE,2025-01-09 00:00:00,207.05,151.3,-1,55.75,-26.925863318039124
2025-01-06 10:34:00,2025-01-06 11:32:00,23900,PE,2025-01-09 00:00:00,140.15,245.55,-1,-105.4,75.20513735283625
2025-01-06 11:40:00,2025-01-06 12:03:00,23750,PE,2025-01-09 00:00:00,186.85,224.0,-1,-37.150000000000006,19.88225849611989
2025-01-06 12:09:00,2025-01-06 14:04:00,23650,PE,2025-01-09 00:00:00,171.0,207.45,-1,-36.44999999999999,21.315789473684198
