entry_time,exit_time,strike,option_type,expiry,entry_price,exit_price,size,pnl,pnl_pct
2025-01-01 09:40:00,2025-01-01 11:35:00,23600,PE,2025-01-02 00:00:00,111.75,88.5,-1,23.25,20.80536912751678
2025-01-06 09:40:00,2025-01-06 10:25:00,24000,PE,2025-01-09 00:00:00,198.45,178.4,-1,20.049999999999983,10.103300579491048
2025-01-06 10:40:00,2025-01-06 11:10:00,23900,PE,2025-01-09 00:00:00,179.55,264.75,-1,-85.19999999999999,-47.451963241436914
2025-01-06 11:40:00,2025-01-06 12:00:00,23750,PE,2025-01-09 00:00:00,206.45,218.5,-1,-12.050000000000011,-5.836764349721488
2025-01-06 12:10:00,2025-01-06 13:25:00,23650,PE,2025-01-09 00:00:00,154.9,190.55,-1,-35.650000000000006,-23.014848289218854
2025-01-06 13:30:00,2025-01-06 14:55:00,23650,PE,2025-01-09 00:00:00,199.4,200.35,-1,-0.9499999999999886,-0.47642928786358507
2025-01-08 10:30:00,2025-01-08 10:45:00,23600,PE,2025-01-09 00:00:00,91.0,106.7,-1,-15.700000000000003,-17.252747252747255
2025-01-08 11:10:00,2025-01-08 14:05:00,23550,PE,2025-01-09 00:00:00,82.85,30.2,-1,52.64999999999999,63.54858177429088
2025-01-09 10:15:00,2025-01-09 11:40:00,23650,CE,2025-01-09 00:00:00,29.3,8.1,-1,21.200000000000003,72.35494880546077
2025-01-10 14:15:00,2025-01-10 14:55:00,23400,PE,2025-01-16 00:00:00,148.0,153.15,-1,-5.150000000000006,-3.479729729729734
2025-01-13 10:10:00,2025-01-13 12:40:00,23250,CE,2025-01-16 00:00:00,178.65,132.4,-1,46.25,25.888609012034703
2025-01-14 10:55:00,2025-01-14 12:40:00,23250,CE,2025-01-16 00:00:00,99.3,76.0,-1,23.299999999999997,23.464249748237663
2025-01-15 10:25:00,2025-01-15 10:50:00,23250,CE,2025-01-16 00:00:00,64.6,92.15,-1,-27.55000000000001,-42.647058823529434
2025-01-17 10:55:00,2025-01-17 11:55:00,23100,PE,2025-01-23 00:00:00,173.15,148.7,-1,24.450000000000017,14.120704591394754
2025-01-17 12:00:00,2025-01-17 14:55:00,23150,PE,2025-01-23 00:00:00,158.45,115.6,-1,42.849999999999994,27.043231303250238
2025-01-20 09:35:00,2025-01-20 12:30:00,23150,PE,2025-01-23 00:00:00,155.15,74.5,-1,80.65,51.98195294875927
2025-01-21 09:35:00,2025-01-21 10:10:00,23350,PE,2025-01-23 00:00:00,144.75,186.75,-1,-42.0,-29.015544041450774
2025-01-21 10:20:00,2025-01-21 12:10:00,23200,PE,2025-01-23 00:00:00,190.8,112.55,-1,78.25000000000001,41.011530398322854
2025-01-21 12:30:00,2025-01-21 13:20:00,23100,PE,2025-01-23 00:00:00,134.0,107.5,-1,26.5,19.776119402985074
2025-01-21 14:20:00,2025-01-21 14:40:00,23150,PE,2025-01-23 00:00:00,127.55,207.25,-1,-79.7,-62.48529988239906
2025-01-24 10:25:00,2025-01-24 12:10:00,23150,PE,2025-01-30 00:00:00,160.15,96.2,-1,63.95,39.93131439275679
2025-01-24 13:20:00,2025-01-24 14:45:00,23150,PE,2025-01-30 00:00:00,154.0,210.1,-1,-56.099999999999994,-36.42857142857142
2025-01-27 10:25:00,2025-01-27 12:10:00,22900,PE,2025-01-30 00:00:00,202.0,170.4,-1,31.599999999999994,15.643564356435641
2025-01-27 12:50:00,2025-01-27 14:55:00,22850,PE,2025-01-30 00:00:00,161.5,160.1,-1,1.4000000000000057,0.8668730650154834
2025-01-28 09:35:00,2025-01-28 12:35:00,22850,PE,2025-01-30 00:00:00,142.45,74.55,-1,67.89999999999999,47.665847665847664
2025-01-29 09:40:00,2025-01-29 11:00:00,23050,CE,2025-01-30 00:00:00,155.15,191.95,-1,-36.79999999999998,-23.718981630679973
2025-01-29 11:35:00,2025-01-29 11:50:00,23100,CE,2025-01-30 00:00:00,135.9,161.35,-1,-25.44999999999999,-18.727005150846203
2025-01-29 12:20:00,2025-01-29 14:55:00,23150,CE,2025-01-30 00:00:00,150.1,136.95,-1,13.150000000000006,8.760826115922722
2025-01-30 11:55:00,2025-01-30 13:00:00,23300,CE,2025-01-30 00:00:00,67.25,49.4,-1,17.85,26.54275092936803
