entry_time,exit_time,strike,option_type,expiry,entry_price,exit_price,size,pnl,pnl_pct
2025-01-01 09:40:00,2025-01-01 14:55:00,23600,PE,2025-01-02,111.75,57.3,-1,54.45,-48.7248322147651
2025-01-06 09:40:00,2025-01-06 10:15:00,24000,PE,2025-01-09,198.45,148.35,-1,50.099999999999994,-25.245653817082392
2025-01-06 10:40:00,2025-01-06 12:05:00,23900,PE,2025-01-09,179.55,312.55,-1,-133.0,74.07407407407408
2025-01-06 12:20:00,2025-01-06 14:10:00,23650,PE,2025-01-09,170.8,216.85,-1,-46.04999999999998,26.961358313817318
2025-01-06 14:20:00,2025-01-06 14:55:00,23650,PE,2025-01-09,208.9,200.35,-1,8.550000000000011,-4.092867400670186
2025-01-08 10:30:00,2025-01-08 10:50:00,23600,PE,2025-01-09,91.0,111.2,-1,-20.200000000000003,22.197802197802208
2025-01-08 11:10:00,2025-01-08 14:55:00,23550,PE,2025-01-09,82.85,28.9,-1,53.949999999999996,-65.11768255884127
2025-01-09 10:15:00,2025-01-09 10:40:00,23650,CE,2025-01-09,29.3,17.45,-1,11.850000000000001,-40.44368600682594
2025-01-10 14:15:00,2025-01-10 14:55:00,23400,PE,2025-01-16,148.0,153.15,-1,-5.150000000000006,3.4797297297297414
2025-01-13 10:10:00,2025-01-13 14:55:00,23250,CE,2025-01-16,178.65,79.0,-1,99.65,-55.779457038902876
2025-01-14 10:55:00,2025-01-14 14:55:00,23250,CE,2025-01-16,99.3,73.7,-1,25.599999999999994,-25.780463242698893
2025-01-15 10:25:00,2025-01-15 14:55:00,23250,CE,2025-01-16,64.6,36.2,-1,28.39999999999999,-43.96284829721361
2025-01-17 10:55:00,2025-01-17 12:20:00,23100,PE,2025-01-23,173.15,135.15,-1,38.0,-21.946289344498993
2025-01-17 12:25:00,2025-01-17 14:55:00,23200,PE,2025-01-23,179.2,134.65,-1,44.54999999999998,-24.86049107142856
2025-01-20 09:35:00,2025-01-20 10:15:00,23150,PE,2025-01-23,155.15,111.8,-1,43.35000000000001,-27.9407025459233
2025-01-21 09:35:00,2025-01-21 10:40:00,23350,PE,2025-01-23,144.75,252.9,-1,-108.15,74.71502590673576
2025-01-21 10:50:00,2025-01-21 14:55:00,23200,PE,2025-01-23,167.5,214.4,-1,-46.900000000000006,28.000000000000004
2025-01-24 10:25:00,2025-01-24 11:15:00,23150,PE,2025-01-30,160.15,111.15,-1,49.0,-30.59631595379332
2025-01-24 13:20:00,2025-01-24 14:55:00,23150,PE,2025-01-30,154.0,190.7,-1,-36.69999999999999,23.831168831168824
2025-01-27 10:25:00,2025-01-27 12:05:00,22900,PE,2025-01-30,202.0,152.45,-1,49.55000000000001,-24.52970297029704
2025-01-27 12:50:00,2025-01-27 14:55:00,22850,PE,2025-01-30,161.5,160.1,-1,1.4000000000000057,-0.8668730650154832
2025-01-28 09:35:00,2025-01-28 11:40:00,22850,PE,2025-01-30,142.45,93.7,-1,48.749999999999986,-34.222534222534215
2025-01-29 09:40:00,2025-01-29 11:15:00,23050,CE,2025-01-30,155.15,170.6,-1,-15.449999999999989,9.958105059619715
2025-01-29 11:35:00,2025-01-29 12:50:00,23100,CE,2025-01-30,135.9,155.5,-1,-19.599999999999994,14.422369389256806
2025-01-29 13:05:00,2025-01-29 14:55:00,23150,CE,2025-01-30,136.1,136.95,-1,-0.8499999999999943,0.6245407788390889
2025-01-30 11:55:00,2025-01-30 14:55:00,23300,CE,2025-01-30,67.25,1.9,-1,65.35,-97.17472118959107
2025-01-31 11:20:00,2025-01-31 14:55:00,23450,CE,2025-02-06,295.4,322.65,-1,-27.25,9.224779959377116
2025-02-01 12:35:00,2025-02-01 13:45:00,23400,PE,2025-02-06,164.75,122.3,-1,42.45,-25.766312594840667
2025-02-04 09:45:00,2025-02-04 10:55:00,23600,CE,2025-02-06,117.25,87.4,-1,29.849999999999994,-25.458422174840077
2025-02-04 11:10:00,2025-02-04 12:05:00,23500,CE,2025-02-06,142.85,156.0,-1,-13.150000000000006,9.205460273013655
2025-02-04 12:10:00,2025-02-04 14:05:00,23550,CE,2025-02-06,140.3,185.0,-1,-44.69999999999999,31.86029935851744
2025-02-05 09:55:00,2025-02-05 14:55:00,23750,PE,2025-02-06,91.05,94.1,-1,-3.049999999999997,3.349807797913229
2025-02-07 12:15:00,2025-02-07 14:50:00,23550,PE,2025-02-13,139.55,175.25,-1,-35.69999999999999,25.582228591902535
2025-02-10 09:45:00,2025-02-10 10:40:00,23400,PE,2025-02-13,122.75,139.0,-1,-16.25,13.238289205702646
2025-02-10 11:15:00,2025-02-10 14:55:00,23400,PE,2025-02-13,143.4,122.9,-1,20.5,-14.295676429567639
2025-02-12 10:10:00,2025-02-12 10:35:00,22800,PE,2025-02-13,73.55,46.7,-1,26.849999999999994,-36.50577838205302
2025-02-14 11:35:00,2025-02-14 14:55:00,22850,PE,2025-02-20,161.0,110.3,-1,50.7,-31.490683229813666
2025-02-17 10:00:00,2025-02-17 10:30:00,22750,PE,2025-02-20,141.9,109.65,-1,32.25,-22.72727272727273
2025-02-17 11:15:00,2025-02-17 13:35:00,22800,PE,2025-02-20,144.4,95.55,-1,48.85000000000001,-33.829639889196685
2025-02-18 09:50:00,2025-02-18 10:25:00,22950,CE,2025-02-20,136.75,98.55,-1,38.2,-27.934186471663626
2025-02-18 12:35:00,2025-02-18 14:55:00,22900,CE,2025-02-20,136.2,149.7,-1,-13.5,9.911894273127754
2025-02-19 11:05:00,2025-02-19 11:35:00,22950,PE,2025-02-20,96.0,74.9,-1,21.099999999999994,-21.97916666666666
2025-02-19 13:30:00,2025-02-19 14:40:00,22900,PE,2025-02-20,66.15,85.55,-1,-19.39999999999999,29.327286470143598
2025-02-21 09:50:00,2025-02-21 10:35:00,22800,PE,2025-02-27,135.4,155.55,-1,-20.150000000000006,14.881831610044326
2025-02-21 10:55:00,2025-02-21 14:55:00,22750,PE,2025-02-27,131.6,112.0,-1,19.599999999999994,-14.893617021276595
2025-02-24 12:15:00,2025-02-24 14:55:00,22550,PE,2025-02-27,85.25,67.0,-1,18.25,-21.407624633431087
2025-02-27 09:45:00,2025-02-27 10:00:00,22550,PE,2025-02-27,21.55,25.85,-1,-4.300000000000001,19.953596287703014
2025-02-27 10:25:00,2025-02-27 10:50:00,22500,PE,2025-02-27,11.2,7.1,-1,4.1,-36.60714285714286
2025-02-28 10:50:00,2025-02-28 13:50:00,22250,PE,2025-03-06,111.05,198.95,-1,-87.89999999999999,79.15353444394417
2025-02-28 14:35:00,2025-02-28 14:55:00,22100,PE,2025-03-06,119.95,104.05,-1,15.900000000000006,-13.255523134639436
2025-03-03 10:10:00,2025-03-03 10:30:00,22000,PE,2025-03-06,98.5,83.2,-1,15.299999999999997,-15.532994923857867
2025-03-03 11:00:00,2025-03-03 12:25:00,22000,PE,2025-03-06,98.95,76.6,-1,22.35000000000001,-22.587165234967166
