entry_time,exit_time,strike,option_type,expiry,entry_price,exit_price,size,pnl,pnl_pct
2025-04-21 09:37:00,2025-04-21 10:17:00,24000,CE,2025-04-24 00:00:00,148.7,169.85,-1,-21.150000000000006,14.22326832548757
2025-04-21 10:43:00,2025-04-21 13:19:00,24100,CE,2025-04-24 00:00:00,131.1,163.0,-1,-31.900000000000006,24.332570556826848
2025-04-21 13:35:00,2025-04-21 14:51:00,24200,CE,2025-04-24 00:00:00,112.35,105.35,-1,7.0,-6.230529595015577
2025-04-22 09:37:00,2025-04-22 11:13:00,24200,CE,2025-04-24 00:00:00,96.15,111.2,-1,-15.049999999999997,15.652626105044188
2025-04-22 11:25:00,2025-04-22 14:35:00,24250,CE,2025-04-24 00:00:00,81.5,59.2,-1,22.299999999999997,-27.361963190184046
2025-04-23 09:35:00,2025-04-23 09:44:00,24250,PE,2025-04-24 00:00:00,87.35,55.75,-1,31.599999999999994,-36.17630223239839
2025-04-23 10:10:00,2025-04-23 10:59:00,24200,PE,2025-04-24 00:00:00,78.4,103.0,-1,-24.599999999999994,31.377551020408156
2025-04-24 09:47:00,2025-04-24 14:51:00,24200,PE,2025-04-30 00:00:00,151.2,164.7,-1,-13.5,8.92857142857142
2025-04-25 09:40:00,2025-04-25 10:11:00,24200,PE,2025-04-30 00:00:00,152.3,280.0,-1,-127.69999999999999,83.84766907419565
2025-04-25 10:25:00,2025-04-25 12:06:00,24000,PE,2025-04-30 00:00:00,184.45,234.75,-1,-50.30000000000001,27.270262943887236
2025-04-25 12:31:00,2025-04-25 13:08:00,23900,PE,2025-04-30 00:00:00,155.95,117.5,-1,38.44999999999999,-24.65533824943892
2025-04-30 10:34:00,2025-04-30 14:51:00,24300,PE,2025-05-08 00:00:00,217.5,201.55,-1,15.949999999999989,-7.333333333333325
2025-05-05 09:52:00,2025-05-05 10:54:00,24500,CE,2025-05-08 00:00:00,117.6,122.8,-1,-5.200000000000003,4.421768707482987
2025-05-05 10:55:00,2025-05-05 11:47:00,24500,CE,2025-05-08 00:00:00,115.8,84.1,-1,31.700000000000003,-27.374784110535412
2025-05-07 09:49:00,2025-05-07 14:51:00,24300,PE,2025-05-08 00:00:00,66.45,42.8,-1,23.650000000000006,-35.590669676448464
2025-05-08 13:17:00,2025-05-08 14:51:00,24350,PE,2025-05-15 00:00:00,186.35,308.0,-1,-121.65,65.28038636973437
2025-05-09 09:55:00,2025-05-09 10:52:00,24000,PE,2025-05-15 00:00:00,239.75,267.6,-1,-27.850000000000023,11.6162669447341
2025-05-09 10:58:00,2025-05-09 14:51:00,23950,PE,2025-05-15 00:00:00,251.0,216.35,-1,34.650000000000006,-13.804780876494027
2025-05-12 09:55:00,2025-05-12 10:01:00,24700,CE,2025-05-15 00:00:00,152.25,174.05,-1,-21.80000000000001,14.318555008210199
2025-05-12 10:25:00,2025-05-12 12:49:00,24750,CE,2025-05-15 00:00:00,168.65,215.25,-1,-46.599999999999994,27.63118885265341
2025-05-12 13:02:00,2025-05-12 14:41:00,24800,CE,2025-05-15 00:00:00,197.6,273.2,-1,-75.6,38.25910931174088
2025-05-13 09:37:00,2025-05-13 14:51:00,24800,CE,2025-05-15 00:00:00,193.5,81.95,-1,111.55,-57.64857881136951
2025-05-14 11:08:00,2025-05-14 11:54:00,24700,PE,2025-05-15 00:00:00,110.0,142.4,-1,-32.400000000000006,29.454545454545467
2025-05-14 11:57:00,2025-05-14 13:01:00,24650,PE,2025-05-15 00:00:00,107.3,151.55,-1,-44.250000000000014,41.23951537744644
2025-05-14 13:03:00,2025-05-14 14:51:00,24600,PE,2025-05-15 00:00:00,100.85,82.55,-1,18.299999999999997,-18.145761031234507
2025-05-15 10:07:00,2025-05-15 10:40:00,24500,PE,2025-05-22 00:00:00,187.35,123.75,-1,63.599999999999994,-33.94715772618094
2025-05-15 11:25:00,2025-05-15 13:09:00,24600,PE,2025-05-22 00:00:00,190.05,137.8,-1,52.25,-27.49276506182583
2025-05-16 09:57:00,2025-05-16 14:51:00,25000,PE,2025-05-22 00:00:00,186.35,156.75,-1,29.599999999999994,-15.884089079688756
2025-05-19 09:43:00,2025-05-19 14:17:00,25000,PE,2025-05-22 00:00:00,157.65,187.7,-1,-30.049999999999983,19.06121154456073
