entry_time,exit_time,broker,strike,option_type,expiry,entry_price,exit_price,size,pnl,pnl_pct,vwap_at_entry,vwap_at_exit,oi_at_entry,oi_change_at_entry,oi_at_exit,exit_reason
2025-12-30 14:25:19,2025-12-30 14:26:51,Legacy,25900.0,PUT,2025-12-30,5.0,6.7,75,127.5,34.00000000000001,4.674572584575916,5.420460923331918,50009550,-0.320210005142495,47716500,Trailing Stop (10%)
2025-12-31 10:30:25,2025-12-31 14:15:00,Legacy,26050.0,CALL,2026-01-06,107.4,193.0,75,6420.0,79.7020484171322,106.28,194.53738749119054,7215845,-70.75657805842559,2104895,EOD Exit
2026-01-01 13:05:31,2026-01-01 13:22:17,Legacy,26200.0,CALL,2026-01-06,67.7,62.55,75,-386.25,-7.6070901033973515,67.09424289980674,66.97640440523107,15235545,-0.4548466007542554,15288195,VWAP Stop (>5% below VWAP)
2026-01-05 12:20:00,2026-01-05 12:33:14,Legacy,26350.0,CALL,2026-01-06,48.15,44.4,75,-281.25,-7.788161993769471,47.851730643921755,46.82224440991992,21133645,-0.5983062765599682,21227050,VWAP Stop (>5% below VWAP)
2026-01-06 11:45:00,2026-01-06 11:57:45,Legacy,26200.0,CALL,2026-01-06,23.45,20.2,75,-243.75,-13.85927505330491,20.695191831174654,21.82140994055707,43631250,-1.977248499540005,43550585,VWAP Stop (>5% below VWAP)
2026-01-09 11:40:07,2026-01-09 12:04:38,25750.0,PUT,2026-01-13,64.75,69.85,75,382.5,7.8764478764478785,57.919142533518745,72.33938819275096,7339735,-2.682880584666299,8666450,Trailing Stop (10%)
