entry_time,exit_time,strike,option_type,expiry,entry_price,exit_price,size,pnl,pnl_pct,vwap_at_entry,vwap_at_exit,oi_at_entry,oi_change_at_entry,oi_at_exit,exit_reason,entry_order_id,exit_order_id
2026-01-29 11:00:14,2026-01-29 11:35:05,25250,CALL,2026-02-03,207.0,214.15,65,464.75,3.4541062801932476,202.87056068644787,218.676734481326,4423250,-3.821692059812873,3240380,Trailing Stop (10%),260129000523978,260129000647686
2026-01-30 13:45:02,2026-01-30 14:27:38,25250,CALL,2026-02-03,238.35,258.7,65,1322.75,8.537864485001045,206.68064169834662,212.84409299967083,5264155,-10.042431243613098,2712450,Trailing Stop (10%),LIVE_20260130_001,260130000751610
2026-02-01 10:45:02,2026-02-01 11:20:43,25350,CALL,2026-02-03,215.95,216.75,65,52.0,0.3704561241028026,200.00257394029788,207.88810929395353,4811560,-2.0665202550736907,4320420,Trailing Stop (10%),LIVE_20260201_001,260201000430655
