id,fetched_at,fetch_reason,strike,option_type,expiry,from_time,to_time,candles_fetched
1,2026-02-19T11:53:02.715,vwap_init,25700.0,CE,2026-02-24,2026-02-19 09:15:00+05:30,2026-02-19 11:45:00+05:30,31
2,2026-02-19T11:55:00.075,strategy_update,25700.0,CE,2026-02-24,2026-02-19 11:50:00+05:30,2026-02-19 11:55:00+05:30,1
3,2026-02-19T12:00:31.153,strategy_update,25700.0,CE,2026-02-24,2026-02-19 11:55:00+05:30,2026-02-19 12:00:00+05:30,1
4,2026-02-19T12:05:31.272,vwap_init,25650.0,CE,2026-02-24,2026-02-19 09:15:00+05:30,2026-02-19 12:00:00+05:30,34
