id,fetch_id,fetched_at,strike,option_type,expiry,candle_time,open,high,low,close,volume,oi,typical_price,formula,tpv_contribution
1,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 09:15:00+05:30,224.0,229.7,205.15,215.9,1356680,4277910,218.6875,OHLC/4,296688957.5
2,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 09:20:00+05:30,217.4,234.0,213.3,215.05,1076335,4206930,219.9375,OHLC/4,236726429.0625
3,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 09:25:00+05:30,215.15,216.4,191.6,192.5,939380,4357990,203.9125,OHLC/4,191551324.25
4,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 09:30:00+05:30,192.55,195.8,184.0,185.7,780585,4646980,189.5125,OHLC/4,147930614.8125
5,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 09:35:00+05:30,185.35,193.3,171.5,176.9,1181310,4816825,181.7625,OHLC/4,214717858.875
6,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 09:40:00+05:30,177.25,180.55,173.45,174.4,735605,5185115,176.4125,OHLC/4,129769917.0625
7,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 09:45:00+05:30,174.4,190.7,172.65,187.75,1653275,5241015,181.375,OHLC/4,299862753.125
8,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 09:50:00+05:30,188.2,189.45,172.7,174.0,1109745,5299450,181.08749999999998,OHLC/4,200960947.68749997
9,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 09:55:00+05:30,174.15,177.15,167.05,171.0,851305,5536830,172.3375,OHLC/4,146711775.4375
10,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:00:00+05:30,170.65,178.0,165.6,177.55,1361035,5855135,172.95,OHLC/4,235391003.24999997
11,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:05:00+05:30,177.6,179.75,170.45,173.45,845715,5925985,175.3125,OHLC/4,148264410.9375
12,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:10:00+05:30,173.05,175.85,157.0,160.2,1208025,5963490,166.52499999999998,OHLC/4,201166363.12499997
13,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:15:00+05:30,160.6,165.6,155.6,160.4,1172925,6222580,160.54999999999998,OHLC/4,188313108.74999997
